ID,WijkenEnBuurten,AantalInwoners_5,,
31656,WK047941,3030,,
31664,WK047942,5790,,
31676,WK047951,11130,,
31704,WK047961,7580,,
31724,WK047962,9510,,
31744,WK047971,7650,,
31760,WK047972,10890,,
31776,WK047981,4450,,
31804,WK048200,18840,,
31884,WK048401,9590,,
31928,WK048402,13820,,
31964,WK048403,10290,,
31992,WK048404,4430,,
32016,WK048405,7800,,
32044,WK048406,8280,,
32068,WK048407,870,,
32084,WK048408,13910,,
32124,WK048409,50,,
32132,WK048445,1200,,
32152,WK048471,1940,,
32176,WK048901,1530,,
32192,WK048902,2530,,
32212,WK048903,1020,,
32220,WK048904,2050,,
32232,WK048905,3740,,
32248,WK048906,1130,,
32256,WK048907,2070,,
32264,WK048908,2990,,
32276,WK048909,5460,,
32300,WK048910,560,,
32308,WK048911,1570,,
32316,WK048912,1630,,
32332,WK048913,670,,
32340,WK048914,6380,,
32360,WK048915,1910,,
32368,WK048916,1690,,
32376,WK048917,770,,
32384,WK048918,1490,,
32392,WK048919,1100,,
32400,WK048920,4230,,
32408,WK048930,180,,
32432,WK048931,1050,,
